RIDEID,CREATED,RIDEVALUE,VATONRIDEVALUE,SURCHARGE,VATONSURCHARGE,INTERCITYSURCHARGE,VATONINTERCITYSURCHARGE,CANCELLATIONFINE,VATONCANCELLATIONFINE,RIDEHAILINGSURCHARGE,VATONRIDEHAILINGSURCHARGE,SUBTOTAL,DISCOUNT,VATONDISCOUNT,VALUEADDEDTAX,TOTALAMOUNTWITHTAX,CASHTOBECOLLECTED,UNROUNDEDRIDEFINALVALUE,DRIVEREARNINGS,PASSENGERWALLET,VALUECHARGED,TYPERIDE,DATECHARGED,CHARGEBYTAXIMETER,INVOICENUMBER,RECEIPTTIME,PAYMENTTIME,DISTANCE,DURATION,WAITINGCHARGES,VATONWAITINGCHARGES
6a4fa836c737923ca95700a3,2026-07-09 13:55:02.928,7.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.26,0.98,0.00,0.00,6.28,6.28,6.28,6.38,0.00,1.45,others,2026-07-09 14:44:06.998,,JNY-AAAABM-999628,2026-07-09 14:40:12.029,2026-07-09 14:41:07.565,16986,2101,0.05,0
6a4fc752c737923ca9851e25,2026-07-09 16:07:46.672,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.14,1.00,0.00,0.00,3.14,3.14,3.14,3.62,0.00,0.83,others,2026-07-09 16:37:07.375,,JNY-AAAABN-012160,2026-07-09 16:34:52.707,2026-07-09 16:35:33.020,12370,1230,0.14,0
6a4f8a5cb0e119efe83870b3,2026-07-09 11:47:40.188,4.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.23,0.98,0.00,0.00,3.25,3.25,3.25,3.71,0.00,0.85,others,2026-07-09 12:18:25.056,,JNY-AAAABM-984692,2026-07-09 12:17:04.087,2026-07-09 12:17:25.019,13091,1363,0.03,0
6a4cecb94407f7fd1e121387,2026-07-07 12:10:32.918,14.90,2.24,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,15.54,7.77,1.17,1.17,8.94,0.00,8.94,13.39,8.94,3.81,others,2026-07-07 12:41:18.893,,JNY-AAAAED-026100,2026-07-07 12:39:36.206,2026-07-07 12:39:38.300,10209,906,0.14,0.02
6a4b7304c5d6742eb798f57c,2026-07-06 09:19:00.351,7.77,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,9.60,3.84,0.58,0.87,6.63,0.00,6.63,7.96,6.63,2.50,others,2026-07-06 09:34:52.788,,JNY-AAAAEC-894786,2026-07-06 09:34:00.863,2026-07-06 09:34:03.935,1606,244,1.33,0.2
6a492e1d7ef6256af742656b,2026-07-04 16:00:28.043,7.77,1.17,0.77,0.12,0.00,0.00,0.00,0.00,0.50,0.08,9.36,3.74,0.56,0.85,6.48,0.00,6.48,7.24,6.48,2.98,others,2026-07-04 16:32:16.679,,JNY-AAAAEC-705058,2026-07-04 16:10:53.347,2026-07-04 16:29:51.816,453,103,0.32,0.05
6a492bec7ef6256af73fad50,2026-07-04 15:51:08.436,26.90,4.03,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,28.07,6.96,1.04,3.17,24.28,24.28,24.28,22.84,0.00,8.22,others,2026-07-04 16:43:01.852,,JNY-AAAAEC-706340,2026-07-04 16:40:04.081,2026-07-04 16:41:36.785,15303,1581,0.67,0.1
6a510474c737923ca93517b2,2026-07-10 14:40:52.341,7.77,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,8.93,4.47,0.67,0.67,5.14,5.14,5.14,6.93,0.00,2.86,others,2026-07-10 14:57:09.317,,JNY-AAAAED-365705,2026-07-10 14:55:23.970,2026-07-10 14:56:09.142,1959,253,0.66,0.1
6a5140b9aba5ca1961ba1f26,2026-07-10 18:58:01.276,12.63,1.89,1.26,0.19,0.00,0.00,0.00,0.00,0.50,0.08,17.17,8.59,1.29,1.28,9.87,0.00,9.87,13.40,9.87,5.17,others,2026-07-10 19:29:30.860,,JNY-AAAAED-394092,2026-07-10 19:27:15.972,2026-07-10 19:28:10.451,8869,812,2.78,0.42
6a512640c737923ca954ec64,2026-07-10 17:05:03.998,21.92,3.29,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,23.95,8.70,1.31,2.29,17.55,17.55,17.55,19.31,0.00,7.07,others,2026-07-10 18:01:41.225,,JNY-AAAAED-383712,2026-07-10 17:59:14.951,2026-07-10 17:59:37.052,16366,2005,1.53,0.23
6a490992c5a77f251a4db327,2026-07-04 13:24:34.366,25.83,3.87,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,26.56,6.96,1.04,2.94,22.54,22.54,22.54,21.63,0.00,7.80,others,2026-07-04 14:04:22.233,,JNY-AAAAEC-688470,2026-07-04 14:01:56.254,2026-07-04 14:02:09.093,23074,1978,0.23,0.03
6a4fa533c737923ca9523628,2026-07-09 13:42:11.122,26.05,3.91,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,26.80,6.96,1.04,2.99,22.83,22.83,22.83,23.40,0.00,6.29,others,2026-07-09 14:26:33.378,,JNY-AAAAED-269094,2026-07-09 14:22:50.114,2026-07-09 14:23:56.837,16772,1346,0.25,0.04
6a4fc732b0e119efe88cd5d8,2026-07-09 16:07:14.496,34.70,5.21,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,35.79,6.96,1.04,4.34,33.17,33.17,33.17,31.38,0.00,8.26,others,2026-07-09 16:55:20.924,,JNY-AAAAED-289011,2026-07-09 16:51:40.062,2026-07-09 16:52:45.578,27756,2279,0.59,0.09
6a4a84e37ef6256af75c36a7,2026-07-05 16:22:59.487,51.01,7.65,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,52.96,6.96,1.04,6.91,52.91,52.91,52.91,46.59,0.00,12.04,others,2026-07-05 17:28:46.945,,JNY-AAAAEC-831703,2026-07-05 17:25:56.312,2026-07-05 17:26:05.967,35167,2393,1.45,0.22
6a4a88437ef6256af76019c8,2026-07-05 16:37:23.356,54.77,8.22,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,56.78,6.96,1.04,7.49,57.31,57.31,57.31,46.60,0.00,16.26,others,2026-07-05 17:37:32.915,,JNY-AAAAEC-832819,2026-07-05 17:34:24.388,2026-07-05 17:35:12.913,23377,1688,1.51,0.23
6a4a9b3f7ef6256af776e9e0,2026-07-05 17:58:23.822,12.30,1.85,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,12.82,1.30,0.20,1.73,13.25,13.25,13.25,10.98,0.00,3.21,others,2026-07-05 18:18:05.079,,JNY-AAAAEC-837819,2026-07-05 18:17:34.237,2026-07-05 18:17:37.072,6827,800,0.02,0
6a4a9ca9c5a77f251aabea33,2026-07-05 18:04:25.163,34.42,5.16,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,34.99,6.96,1.04,4.21,32.24,32.24,32.24,30.72,0.00,8.09,others,2026-07-05 19:01:55.889,,JNY-AAAAEC-842720,2026-07-05 19:00:30.455,2026-07-05 19:00:32.812,26821,2422,0.07,0.01
6a4b634a4407f7fd1ee041d3,2026-07-06 08:11:53.993,29.73,4.46,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,31.83,1.30,0.20,4.58,35.11,24.20,35.11,25.86,10.91,9.27,others,2026-07-06 08:59:17.021,,JNY-AAAAEC-892325,2026-07-06 08:54:29.414,2026-07-06 08:58:14.726,21864,1874,1.6,0.24
6a498ec27ef6256af79d9560,2026-07-04 22:52:50.051,30.38,4.56,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,32.71,8.70,1.31,3.59,27.62,27.62,27.62,26.56,0.00,9.52,others,2026-07-04 23:37:29.674,,JNY-AAAAEC-745673,2026-07-04 23:36:29.085,2026-07-04 23:36:41.782,28799,1656,1.83,0.27
6a4ba37c4407f7fd1e191df7,2026-07-06 12:45:48.290,7.96,1.19,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,8.51,4.26,0.64,0.63,4.89,4.89,4.89,6.65,0.00,2.74,others,2026-07-06 12:59:54.887,,JNY-AAAAEC-911800,2026-07-06 12:59:11.456,2026-07-06 12:59:17.076,3198,496,0.05,0.01
6a52500e2c3bad89f2cb18e3,2026-07-11 14:15:41.973,21.02,3.15,0.00,0.00,0.00,0.00,20.61,0.00,0.50,0.08,42.41,6.96,1.04,2.23,37.68,0.00,37.68,17.67,37.68,27.07,others,2026-07-11 14:54:47.187,,JNY-AAAAED-458962,2026-07-11 14:46:27.034,2026-07-11 14:53:03.170,18783,1393,0.28,0.04
6a5283c8aba5ca19618b71de,2026-07-11 17:56:24.235,23.07,3.46,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,24.39,6.96,1.04,2.62,20.05,20.05,20.05,19.76,0.00,7.19,others,2026-07-11 18:39:56.328,,JNY-AAAAED-483075,2026-07-11 18:38:07.308,2026-07-11 18:38:33.330,12286,1114,0.82,0.12
6a515f842c3bad89f2504d8c,2026-07-10 21:09:24.979,41.81,6.27,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,42.88,42.88,6.43,0.01,0.01,0.00,0.01,35.15,0.01,12.37,others,2026-07-10 21:39:35.253,,JNY-AAAAED-407332,2026-07-10 21:39:17.448,2026-07-10 21:39:19.509,34178,1650,0.57,0.09
6a524ebb2c3bad89f2c9b29c,2026-07-11 14:10:03.024,7.77,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,9.37,3.75,0.56,0.85,6.48,6.48,6.48,7.25,0.00,2.98,others,2026-07-11 14:28:15.337,,JNY-AAAAED-456291,2026-07-11 14:26:32.265,2026-07-11 14:26:34.123,1788,260,1.1,0.17
6a529550aba5ca19619e9500,2026-07-11 19:11:12.490,26.78,4.02,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,28.63,6.96,1.04,3.26,24.93,24.93,24.93,24.92,0.00,6.69,others,2026-07-11 19:55:41.203,,JNY-AAAAED-491308,2026-07-11 19:54:23.029,2026-07-11 19:54:55.772,23218,1936,1.35,0.2
6a5353277c77b079cb3e01e2,2026-07-12 08:41:11.752,12.18,1.83,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,12.73,5.09,0.76,1.16,8.80,8.80,8.80,10.16,0.00,3.92,others,2026-07-12 09:03:08.787,,JNY-AAAAED-534395,2026-07-12 09:01:40.177,2026-07-12 09:01:59.194,6096,785,0.05,0.01
6a52b9812c3bad89f233b710,2026-07-11 21:45:36.995,40.56,6.08,4.05,0.61,0.00,0.00,0.00,0.00,0.50,0.08,45.18,6.96,1.04,5.74,43.96,0.00,43.96,36.68,43.96,13.01,others,2026-07-11 22:35:27.321,,JNY-AAAAED-502892,2026-07-11 22:33:05.375,2026-07-11 22:34:27.861,34438,1691,0.07,0.01
6a5118e7b0e119efe84edb59,2026-07-10 16:08:06.330,10.41,1.56,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,11.04,4.42,0.66,1.00,7.62,0.00,7.62,9.38,7.62,2.82,others,2026-07-10 16:33:50.399,,JNY-AAAAED-374398,2026-07-10 16:33:04.031,2026-07-10 16:33:06.195,6285,717,0.13,0.02
6a50fc7bc737923ca92e85e4,2026-07-10 14:06:51.660,12.13,1.82,0.00,0.00,0.00,0.00,8.00,0.00,0.50,0.08,21.66,5.46,0.82,1.23,17.43,17.43,17.43,10.83,0.00,12.18,others,2026-07-10 14:35:34.182,,JNY-AAAAED-363808,2026-07-10 14:33:36.144,2026-07-10 14:35:02.103,3440,379,1.03,0.15
6a4fb23eb0e119efe86f16fa,2026-07-09 14:37:50.483,3.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.07,1.00,0.00,0.00,2.07,2.07,2.07,2.70,0.00,0.61,others,2026-07-09 15:13:15.465,,JNY-AAAABN-003005,2026-07-09 15:10:39.271,2026-07-09 15:10:46.819,9065,1572,0.04,0
6a511050c737923ca93f9a66,2026-07-10 15:31:28.326,9.24,1.39,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,9.92,3.97,0.60,0.89,6.85,6.85,6.85,7.81,0.00,3.14,others,2026-07-10 15:53:49.913,,JNY-AAAAED-370927,2026-07-10 15:53:05.254,2026-07-10 15:53:12.239,1610,392,0.18,0.03
6a5103c5c737923ca9347544,2026-07-10 14:37:57.985,26.69,4.00,2.67,0.40,0.00,0.00,0.00,0.00,0.50,0.08,31.74,6.96,1.04,3.72,28.50,28.50,28.50,25.45,0.00,9.25,others,2026-07-10 15:27:13.764,,JNY-AAAAED-368399,2026-07-10 15:25:40.196,2026-07-10 15:25:54.211,15667,1367,1.88,0.28
6a501cf1b0e119efe8f45015,2026-07-09 22:13:04.109,48.29,7.24,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,48.96,6.96,1.04,6.31,48.31,0.00,48.31,40.25,48.31,14.07,others,2026-07-09 23:21:31.846,,JNY-AAAAED-332232,2026-07-09 23:19:11.802,2026-07-09 23:20:26.730,33091,1759,0.17,0.03
6a50f967c737923ca92c31ca,2026-07-10 13:53:43.435,17.38,2.61,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,17.96,8.70,1.31,1.39,10.66,10.66,10.66,14.50,0.00,5.39,others,2026-07-10 14:20:13.713,,JNY-AAAAED-362494,2026-07-10 14:18:31.693,2026-07-10 14:19:20.404,15311,998,0.08,0.01
6a510840c737923ca9386ec4,2026-07-10 14:57:04.155,13.49,2.02,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,14.28,7.14,1.07,1.07,8.21,8.21,8.21,12.25,0.00,3.53,others,2026-07-10 15:21:36.386,,JNY-AAAAED-367922,2026-07-10 15:20:25.130,2026-07-10 15:20:28.432,8317,472,0.29,0.04
6a5018ffc737923ca9e91bca,2026-07-09 21:56:15.713,15.33,2.30,1.53,0.23,0.00,0.00,0.00,0.00,0.50,0.08,22.04,6.96,1.04,2.26,17.35,17.35,17.35,18.50,0.00,5.24,others,2026-07-09 22:41:42.042,,JNY-AAAAED-329643,2026-07-09 22:35:37.304,2026-07-09 22:40:58.862,8688,880,4.68,0.7
6a50cea8b0e119efe81cbb3d,2026-07-10 10:51:20.855,42.60,6.39,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,43.89,8.70,1.31,5.27,40.48,40.48,40.48,38.57,0.00,10.05,others,2026-07-10 11:36:35.819,,JNY-AAAAED-352445,2026-07-10 11:35:23.829,2026-07-10 11:35:32.110,41902,1955,0.79,0.12
6a4e5234b965025546f5f631,2026-07-08 13:35:48.203,7.77,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,9.18,4.59,0.69,0.70,5.29,5.29,5.29,7.11,0.00,2.93,others,2026-07-08 13:54:11.440,,JNY-AAAAED-150658,2026-07-08 13:51:44.711,2026-07-08 13:51:47.215,2116,399,0.91,0.14
6a4c839dc5d6742eb76748fe,2026-07-07 04:42:05.384,37.45,5.62,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,38.81,8.70,1.31,4.52,34.64,34.64,34.64,34.04,0.00,8.93,others,2026-07-07 05:32:35.395,,JNY-AAAAEC-990817,2026-07-07 05:28:26.157,2026-07-07 05:31:23.211,30700,1898,0.86,0.13
6a4c1d18c5d6742eb74f87bc,2026-07-06 21:24:40.220,11.73,1.76,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,13.14,5.26,0.79,1.19,9.07,9.07,9.07,11.16,0.00,3.28,others,2026-07-06 21:46:40.989,,JNY-AAAAEC-973984,2026-07-06 21:45:28.011,2026-07-06 21:46:14.163,7892,717,0.91,0.14
6a493597c5a77f251a8240eb,2026-07-04 16:32:23.259,7.77,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,9.79,4.90,0.74,0.73,5.63,5.63,5.63,7.55,0.00,3.10,others,2026-07-04 16:54:06.645,,JNY-AAAAEC-707631,2026-07-04 16:51:53.122,2026-07-04 16:52:43.986,1536,306,1.52,0.23
6a4fbddcc737923ca9787a2c,2026-07-09 15:27:24.168,14.38,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,16.51,6.60,0.99,1.49,11.40,11.40,11.40,13.13,0.00,4.98,others,2026-07-09 15:57:04.266,,JNY-AAAAED-281574,2026-07-09 15:53:29.576,2026-07-09 15:54:18.251,9295,968,1.63,0.24
6a4f9088c737923ca9380b22,2026-07-09 12:14:00.310,16.92,2.54,1.70,0.26,0.00,0.00,0.00,0.00,0.50,0.08,21.24,8.70,1.31,1.89,14.43,14.43,14.43,16.81,0.00,6.31,others,2026-07-09 12:43:41.969,,JNY-AAAAED-256606,2026-07-09 12:40:22.770,2026-07-09 12:41:13.667,12708,916,2.12,0.32
6a4f99e8c737923ca9433418,2026-07-09 12:54:00.484,25.97,3.90,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,26.87,6.96,1.04,3.00,22.91,22.91,22.91,21.87,0.00,7.88,others,2026-07-09 13:47:26.807,,JNY-AAAAED-264047,2026-07-09 13:42:38.152,2026-07-09 13:45:03.858,15209,1747,0.4,0.06
6a4d046bc5d6742eb7dae280,2026-07-07 13:51:39.589,22.77,3.42,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,29.24,6.96,1.04,3.36,25.64,25.64,25.64,23.22,0.00,8.55,others,2026-07-07 14:48:07.557,,JNY-AAAAED-042045,2026-07-07 14:44:34.182,2026-07-07 14:46:01.549,18378,1317,5.97,0.9
6a4cb9464407f7fd1ee5ece9,2026-07-07 08:31:02.587,9.05,1.36,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,10.24,4.10,0.61,0.93,7.07,7.07,7.07,8.02,0.00,3.23,others,2026-07-07 08:49:30.648,,JNY-AAAAED-007904,2026-07-07 08:46:41.841,2026-07-07 08:48:22.354,3999,420,0.69,0.1
6a4e563a326d320dd9cdfc97,2026-07-08 13:52:57.888,37.56,5.63,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,38.82,6.96,1.04,4.78,36.64,0.00,36.64,31.76,36.64,11.23,others,2026-07-08 14:57:08.125,,JNY-AAAAED-159189,2026-07-08 14:55:17.314,2026-07-08 14:55:20.388,18909,2249,0.76,0.11
6a4cc69e4407f7fd1ef03698,2026-07-07 09:27:58.840,35.43,5.31,0.00,0.00,0.00,0.00,8.00,0.00,0.50,0.08,44.91,8.70,1.31,4.23,40.45,40.45,40.45,32.34,0.00,16.51,others,2026-07-07 10:22:28.890,,JNY-AAAAED-014382,2026-07-07 10:18:52.459,2026-07-07 10:21:21.876,26076,2447,0.98,0.15
6a4cdbc7c5d6742eb7adacc1,2026-07-07 10:58:15.199,58.73,8.81,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,59.27,6.96,1.04,7.85,60.17,60.17,60.17,48.84,0.00,16.96,others,2026-07-07 12:09:04.168,,JNY-AAAAED-023016,2026-07-07 12:05:08.883,2026-07-07 12:06:59.050,50294,3106,0.04,0.01
6a5b8b73086b15be44f26902,2026-07-18 14:19:31.084,11.94,1.79,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,12.59,5.04,0.76,1.13,8.68,0.00,8.68,12.38,8.68,1.71,others,2026-07-18 14:41:52.236,,JNY-AAAAEE-153188,2026-07-18 14:40:42.257,2026-07-18 14:40:45.351,11929,983,0.15,0.02
